commune,adresse,edifice,lien
Marcigny,Rue du Général-de-Gaulle,Eglise Saint-Nicolas,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=97
Mazille,,Chapelle du prieuré du Carmel de la Paix,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=98
Montceau-les-Mines,"14, rue Blanqui",Eglise Notre-Dame,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=99
Montcenis,Place de l'Eglise,Eglise Notre-Dame de l'Assomption,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=72
Montchanin-les-Mines,Place Salengro,Eglise Saint-Vincent,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=100
Ouroux-sur-Saône,Place de l'Eglise,Eglise Notre-Dame,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=101
Paray-le-Monial,"30, rue Louis Desrichard",Basilique du Sacre Cœur,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=103
Paray-le-Monial,8 Avenue Jean-Paul-II,Prieuré du Cœur-de-Jésus,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=122
Paray-le-Monial,2 route de Volesvre,Monastère de Sainte-Claire,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=123
Paray-le-Monial,"19, rue Pasteur",Chapelle de la Maison de la Colombiere,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=102
"Rully, Chalon-sur-Saône",Place de l'Eglise,Eglise Saint-Laurent,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=105
Saint-Bonnet-de-Joux,Place de l'Eglise,Eglise Saint-Bonnet,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=118
Saint-Christophe-en-Brionnais,,Eglise Saint-Christophe,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=106
"Saint-Marcel, Charolles",29 Grande-Rue,Eglise Saint-Marcel,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=107
Saint-Martin-Belle-Roche,,Eglise Saint-Martin,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=108
Saint-Vallier,Place de la Liberté,Eglise Saint-Vallier,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=109
Sennecey-le-Grand,Place de l'Eglise,Eglise Saint-Julien,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=110
"Taizé, Mâcon",,,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=115
"Taizé, Mâcon",Communauté de Taizé,Eglise de la Réconciliation,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=116
Torcy,Rue de la Mouillelongue,Eglise Notre-Dame-du-Travail,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=90
Toulon-sur-Arroux,Place Nicolas-de-Tolon,Eglise Saint-Jean-Baptiste,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=111
Tournus,,Abbatiale Saint-Philibert,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=112
Tournus,,Abbatiale Saint-Philibert,http://www.archives71.fr/arkotheque/consult_fonds/fonds_seriel_detail.php?ref_fonds=21&ref1=113
